Survived,Pclass,Sex,Age,SibSp,Parch,Has_Cabin,FamilySize,IsAlone,Fare_log,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,0,22.0,1,0,0,2,0,2.1102132003465894,False,True,False,True,False,False,False,True,False,False
1,1,1,38.0,1,0,1,2,0,4.2805931204649,False,False,False,False,True,False,False,False,True,False
1,3,1,26.0,0,0,0,1,1,2.188856327665703,False,True,True,False,False,False,False,True,False,False
1,1,1,35.0,1,0,1,2,0,3.9908341858524357,False,True,False,False,True,False,False,True,False,False
0,3,0,35.0,0,0,0,1,1,2.2027647577118348,False,True,False,True,False,False,False,True,False,False
0,3,0,24.0,0,0,0,1,1,2.246892662898172,True,False,False,True,False,False,False,True,False,False
0,1,0,54.0,0,0,1,1,1,3.967694202798607,False,True,False,True,False,False,False,False,True,False
0,3,0,2.0,3,1,0,5,0,3.0944457464900235,False,True,False,False,False,False,False,False,False,False
1,3,1,27.0,0,2,0,3,0,2.495953738718064,False,True,False,False,True,False,False,True,False,False
1,2,1,14.0,1,0,0,2,0,3.436268471383741,False,False,False,False,True,False,True,False,False,False
1,3,1,4.0,1,1,1,3,0,2.8735646395797834,False,True,True,False,False,False,False,False,False,False
1,1,1,58.0,0,0,1,1,1,3.3160025355989236,False,True,True,False,False,False,False,False,True,False
0,3,0,20.0,0,0,0,1,1,2.2027647577118348,False,True,False,True,False,False,False,True,False,False
0,3,0,39.0,1,5,0,7,0,3.4742929367327062,False,True,False,True,False,False,False,False,True,False
0,3,1,14.0,0,0,0,1,1,2.180891922715322,False,True,True,False,False,False,True,False,False,False
1,2,1,55.0,0,0,0,1,1,2.833213344056216,False,True,False,False,True,False,False,False,True,False
0,3,0,2.0,4,1,0,6,0,3.405355391810819,True,False,False,False,False,False,False,False,False,False
1,2,0,29.0,0,0,0,1,1,2.6390573296152584,False,True,False,True,False,False,False,True,False,False
0,3,1,31.0,1,0,0,2,0,2.9444389791664403,False,True,False,False,True,False,False,True,False,False
1,3,1,24.0,0,0,0,1,1,2.1071782966514356,False,False,False,False,True,False,False,True,False,False
0,2,0,35.0,0,0,0,1,1,3.295836866004329,False,True,False,True,False,False,False,True,False,False
1,2,0,34.0,0,0,1,1,1,2.6390573296152584,False,True,False,True,False,False,False,True,False,False
1,3,1,15.0,0,0,0,1,1,2.2004637699272855,True,False,True,False,False,False,True,False,False,False
1,1,0,28.0,0,0,1,1,1,3.597312260588446,False,True,False,True,False,False,False,True,False,False
0,3,1,8.0,3,1,0,5,0,3.0944457464900235,False,True,True,False,False,False,False,False,False,False
1,3,1,38.0,1,5,0,7,0,3.4777725458882283,False,True,False,False,True,False,False,False,True,False
0,3,0,24.0,0,0,0,1,1,2.1071782966514356,False,False,False,True,False,False,False,True,False,False
0,1,0,19.0,3,2,1,6,0,5.575949103146316,False,True,False,True,False,False,False,True,False,False
1,3,1,24.0,0,0,0,1,1,2.1837114628556327,True,False,True,False,False,False,False,True,False,False
0,3,0,24.0,0,0,0,1,1,2.1855792552411137,False,True,False,True,False,False,False,True,False,False
0,1,0,40.0,0,0,0,1,1,3.357621598945279,False,False,False,False,False,True,False,False,True,False
1,1,1,37.0,1,0,1,2,0,4.993969182787072,False,False,False,False,True,False,False,False,True,False
1,3,1,24.0,0,0,0,1,1,2.169053700369523,True,False,True,False,False,False,False,True,False,False
0,2,0,66.0,0,0,0,1,1,2.4423470353692043,False,True,False,True,False,False,False,False,False,True
0,1,0,28.0,1,0,0,2,0,4.420896324687287,False,False,False,True,False,False,False,True,False,False
0,1,0,42.0,1,0,0,2,0,3.970291913552122,False,True,False,True,False,False,False,False,True,False
1,3,0,24.0,0,0,0,1,1,2.1076888046179385,False,False,False,True,False,False,False,True,False,False
0,3,0,21.0,0,0,0,1,1,2.2027647577118348,False,True,False,True,False,False,False,True,False,False
0,3,1,18.0,2,0,0,3,0,2.9444389791664403,False,True,True,False,False,False,True,False,False,False
